,precision,recall,f1-score,support
1,0.8577023498694517,0.8101109741060419,0.8332276474318326,811.0
2,0.6827586206896552,0.7252747252747253,0.7033747779751333,819.0
3,0.6916354556803995,0.6873449131513648,0.6894835096453018,806.0
4,0.8583850931677018,0.8573200992555832,0.8578522656734947,806.0
accuracy,0.769895126465145,0.769895126465145,0.769895126465145,0.769895126465145
macro avg,0.772620379851802,0.7700126779469287,0.7709845501814406,3242.0
weighted avg,0.7723912641765955,0.769895126465145,0.7708094386600248,3242.0
