,precision,recall,f1-score,support
1,0.8482490272373541,0.8064118372379778,0.8268015170670038,811.0
2,0.6689497716894978,0.7155067155067155,0.6914454277286136,819.0
3,0.6953807740324595,0.6910669975186104,0.6932171748599876,806.0
4,0.871536523929471,0.858560794044665,0.865,806.0
accuracy,0.7677359654534238,0.7677359654534238,0.7677359654534238,0.7677359654534238
macro avg,0.7710290242221955,0.7678865860769922,0.7691160299139013,3242.0
weighted avg,0.7707387928008972,0.7677359654534238,0.7688935467576263,3242.0
