zipcode,f1_score_luxury,support
98092,0.599438268546844,44
98056,0.599438268546844,58
98115,0.599438268546844,97
98166,0.599438268546844,40
98075,0.599438268546844,46
98117,0.599438268546844,94
98034,0.599438268546844,77
98033,0.599438268546844,66
98006,0.599438268546844,76
98118,0.599438268546844,73
98148,0.599438268546844,10
98052,0.599438268546844,68
98038,0.599438268546844,98
98001,0.599438268546844,60
98106,0.599438268546844,53
98108,0.599438268546844,31
98070,0.599438268546844,19
98074,0.599438268546844,51
98133,0.599438268546844,98
98059,0.599438268546844,69
98122,0.599438268546844,46
98188,0.599438268546844,19
98126,0.599438268546844,44
98045,0.599438268546844,36
98008,0.599438268546844,36
98199,0.599438268546844,50
98027,0.599438268546844,57
98155,0.599438268546844,75
98023,0.599438268546844,75
98125,0.599438268546844,73
98112,0.599438268546844,46
98040,0.599438268546844,37
98102,0.599438268546844,15
98168,0.599438268546844,50
98011,0.599438268546844,26
98053,0.599438268546844,62
98198,0.599438268546844,39
98010,0.599438268546844,15
98144,0.599438268546844,55
98077,0.599438268546844,32
98103,0.599438268546844,83
98072,0.599438268546844,47
98058,0.599438268546844,69
98030,0.599438268546844,28
98031,0.599438268546844,43
98065,0.599438268546844,49
98055,0.599438268546844,53
98005,0.599438268546844,26
98007,0.599438268546844,22
98042,0.599438268546844,82
98004,0.599438268546844,45
98177,0.599438268546844,34
98002,0.599438268546844,35
98003,0.599438268546844,37
98029,0.599438268546844,49
98107,0.599438268546844,42
98136,0.599438268546844,37
98146,0.599438268546844,38
98109,0.599438268546844,17
98028,0.599438268546844,46
98116,0.599438268546844,45
98032,0.599438268546844,14
98178,0.599438268546844,33
98024,0.599438268546844,17
98119,0.599438268546844,26
98105,0.599438268546844,35
98022,0.599438268546844,27
98014,0.599438268546844,13
98019,0.599438268546844,30
98039,0.599438268546844,4
